[ 2026-05-31 11:39:05,316 ] 52 root - INFO - Starting Data Ingestion
[ 2026-05-31 11:39:06,403 ] 136 root - INFO - Train/Test split completed
[ 2026-05-31 11:39:06,403 ] 75 root - INFO - Data Ingestion Completed
[ 2026-05-31 11:39:06,403 ] 83 root - INFO - Starting Data Validation
[ 2026-05-31 11:39:06,543 ] 78 root - INFO - Required columns: 31
[ 2026-05-31 11:39:06,543 ] 82 root - INFO - Available columns: 31
[ 2026-05-31 11:39:06,543 ] 78 root - INFO - Required columns: 31
[ 2026-05-31 11:39:06,543 ] 82 root - INFO - Available columns: 31
[ 2026-05-31 11:39:06,735 ] 107 root - INFO - Data Validation Completed
[ 2026-05-31 11:39:06,736 ] 115 root - INFO - Starting Data Transformation
[ 2026-05-31 11:39:06,736 ] 97 root - INFO - Entered initiate_data_transformation method
[ 2026-05-31 11:39:06,736 ] 103 root - INFO - Starting Data Transformation
[ 2026-05-31 11:39:06,838 ] 67 root - INFO - Entered get_data_transformer_object method
[ 2026-05-31 11:39:06,838 ] 77 root - INFO - KNNImputer initialized with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-31 11:39:06,850 ] 51 root - INFO - Entered the save_object method of Main_utils class
[ 2026-05-31 11:39:06,851 ] 231 root - INFO - Data Transformation Completed
[ 2026-05-31 11:39:06,851 ] 141 root - INFO - Data Transformation Completed
[ 2026-05-31 11:39:06,851 ] 149 root - INFO - Starting Model Training
