[ 2026-05-31 12:19:31,285 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2026-05-31 12:19:32,097 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2026-05-31 12:19:32,417 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-05-31 12:19:32,426 ] 107 dagshub - INFO - Accessing as Chinmaypalshetkar74
[ 2026-05-31 12:19:33,199 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Chinmaypalshetkar74/Network_security "HTTP/1.1 200 OK"
[ 2026-05-31 12:19:34,036 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-05-31 12:19:34,043 ] 107 dagshub - INFO - Initialized MLflow to track repo "Chinmaypalshetkar74/Network_security"
[ 2026-05-31 12:19:34,044 ] 107 dagshub - INFO - Repository Chinmaypalshetkar74/Network_security initialized!
[ 2026-05-31 12:19:34,194 ] 52 root - INFO - Starting Data Ingestion
[ 2026-05-31 12:19:35,951 ] 136 root - INFO - Train/Test split completed
[ 2026-05-31 12:19:35,951 ] 75 root - INFO - Data Ingestion Completed
[ 2026-05-31 12:19:35,951 ] 83 root - INFO - Starting Data Validation
[ 2026-05-31 12:19:36,096 ] 78 root - INFO - Required columns: 31
[ 2026-05-31 12:19:36,097 ] 82 root - INFO - Available columns: 31
[ 2026-05-31 12:19:36,097 ] 78 root - INFO - Required columns: 31
[ 2026-05-31 12:19:36,097 ] 82 root - INFO - Available columns: 31
[ 2026-05-31 12:19:36,378 ] 107 root - INFO - Data Validation Completed
[ 2026-05-31 12:19:36,378 ] 115 root - INFO - Starting Data Transformation
[ 2026-05-31 12:19:36,378 ] 97 root - INFO - Entered initiate_data_transformation method
[ 2026-05-31 12:19:36,378 ] 103 root - INFO - Starting Data Transformation
[ 2026-05-31 12:19:36,495 ] 67 root - INFO - Entered get_data_transformer_object method
[ 2026-05-31 12:19:36,495 ] 77 root - INFO - KNNImputer initialized with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-31 12:19:36,515 ] 51 root - INFO - Entered the save_object method of Main_utils class
[ 2026-05-31 12:19:36,522 ] 231 root - INFO - Data Transformation Completed
[ 2026-05-31 12:19:36,524 ] 141 root - INFO - Data Transformation Completed
[ 2026-05-31 12:19:36,524 ] 149 root - INFO - Starting Model Training
