[ 2026-05-30 19:41:56,368 ] 52 root - INFO - Starting Data Ingestion
[ 2026-05-30 19:41:57,488 ] 136 root - INFO - Train/Test split completed
[ 2026-05-30 19:41:57,489 ] 75 root - INFO - Data Ingestion Completed
[ 2026-05-30 19:41:57,489 ] 83 root - INFO - Starting Data Validation
[ 2026-05-30 19:41:57,643 ] 78 root - INFO - Required columns: 31
[ 2026-05-30 19:41:57,643 ] 82 root - INFO - Available columns: 31
[ 2026-05-30 19:41:57,643 ] 78 root - INFO - Required columns: 31
[ 2026-05-30 19:41:57,643 ] 82 root - INFO - Available columns: 31
[ 2026-05-30 19:41:57,865 ] 107 root - INFO - Data Validation Completed
[ 2026-05-30 19:41:57,866 ] 115 root - INFO - Starting Data Transformation
[ 2026-05-30 19:41:57,866 ] 97 root - INFO - Entered initiate_data_transformation method
[ 2026-05-30 19:41:57,866 ] 103 root - INFO - Starting Data Transformation
[ 2026-05-30 19:41:58,013 ] 67 root - INFO - Entered get_data_transformer_object method
[ 2026-05-30 19:41:58,013 ] 77 root - INFO - KNNImputer initialized with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-30 19:41:58,037 ] 49 root - INFO - Entered the save_object method of Main_utils class
[ 2026-05-30 19:41:58,042 ] 231 root - INFO - Data Transformation Completed
[ 2026-05-30 19:41:58,044 ] 141 root - INFO - Data Transformation Completed
[ 2026-05-30 19:41:58,044 ] 149 root - INFO - Starting Model Training
